2020:108:02:56:01  rack_temp  309.89 Kelvin, ambient_temp  307.88 Kelvin, ambient_hum   16.93 percent, frontend  299.62 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:01:01  rack_temp  310.10 Kelvin, ambient_temp  311.90 Kelvin, ambient_hum   13.50 percent, frontend  299.64 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:06:01  rack_temp  310.30 Kelvin, ambient_temp  312.54 Kelvin, ambient_hum   11.95 percent, frontend  299.55 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:11:01  rack_temp  310.30 Kelvin, ambient_temp  312.09 Kelvin, ambient_hum   11.86 percent, frontend  299.64 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:16:01  rack_temp  310.71 Kelvin, ambient_temp  311.03 Kelvin, ambient_hum   12.38 percent, frontend  299.66 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:21:01  rack_temp  310.71 Kelvin, ambient_temp  312.97 Kelvin, ambient_hum   11.43 percent, frontend  299.66 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:26:01  rack_temp  310.71 Kelvin, ambient_temp  314.12 Kelvin, ambient_hum   10.34 percent, frontend  299.68 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:31:01  rack_temp  311.11 Kelvin, ambient_temp  313.49 Kelvin, ambient_hum   10.12 percent, frontend  299.71 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:36:01  rack_temp  311.11 Kelvin, ambient_temp  314.81 Kelvin, ambient_hum   10.40 percent, frontend  299.73 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:41:01  rack_temp  311.11 Kelvin, ambient_temp  317.93 Kelvin, ambient_hum    8.26 percent, frontend  299.73 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:46:01  rack_temp  311.11 Kelvin, ambient_temp  314.75 Kelvin, ambient_hum   10.34 percent, frontend  299.75 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:51:01  rack_temp  311.32 Kelvin, ambient_temp  315.72 Kelvin, ambient_hum    9.89 percent, frontend  299.71 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:03:56:01  rack_temp  311.52 Kelvin, ambient_temp  314.45 Kelvin, ambient_hum   11.44 percent, frontend  299.80 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:01:01  rack_temp  311.52 Kelvin, ambient_temp  313.79 Kelvin, ambient_hum    9.30 percent, frontend  299.84 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:06:01  rack_temp  311.72 Kelvin, ambient_temp  314.81 Kelvin, ambient_hum   10.34 percent, frontend  299.84 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:11:01  rack_temp  311.93 Kelvin, ambient_temp  317.59 Kelvin, ambient_hum    8.82 percent, frontend  299.87 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:16:01  rack_temp  312.13 Kelvin, ambient_temp  317.42 Kelvin, ambient_hum    8.72 percent, frontend  299.85 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:21:01  rack_temp  312.33 Kelvin, ambient_temp  314.39 Kelvin, ambient_hum   10.69 percent, frontend  299.80 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:26:01  rack_temp  312.33 Kelvin, ambient_temp  314.18 Kelvin, ambient_hum   11.53 percent, frontend  299.85 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:31:01  rack_temp  312.33 Kelvin, ambient_temp  317.66 Kelvin, ambient_hum   11.35 percent, frontend  299.89 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:36:01  rack_temp  312.33 Kelvin, ambient_temp  316.85 Kelvin, ambient_hum    7.57 percent, frontend  299.89 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:41:01  rack_temp  312.54 Kelvin, ambient_temp  316.17 Kelvin, ambient_hum    9.24 percent, frontend  299.91 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:46:01  rack_temp  312.74 Kelvin, ambient_temp  316.30 Kelvin, ambient_hum    6.53 percent, frontend  299.84 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:51:01  rack_temp  312.74 Kelvin, ambient_temp  317.42 Kelvin, ambient_hum    5.26 percent, frontend  299.94 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:04:56:01  rack_temp  312.94 Kelvin, ambient_temp  315.09 Kelvin, ambient_hum   10.57 percent, frontend  299.93 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:01:01  rack_temp  313.15 Kelvin, ambient_temp  315.00 Kelvin, ambient_hum   11.19 percent, frontend  299.93 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:06:01  rack_temp  313.15 Kelvin, ambient_temp  317.22 Kelvin, ambient_hum    7.11 percent, frontend  299.98 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:11:01  rack_temp  313.35 Kelvin, ambient_temp  313.43 Kelvin, ambient_hum    8.34 percent, frontend  299.98 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:16:01  rack_temp  313.55 Kelvin, ambient_temp  314.09 Kelvin, ambient_hum   11.74 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:21:01  rack_temp  313.55 Kelvin, ambient_temp  313.79 Kelvin, ambient_hum   10.72 percent, frontend  299.98 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:26:01  rack_temp  313.75 Kelvin, ambient_temp  318.24 Kelvin, ambient_hum   10.14 percent, frontend  299.98 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:31:01  rack_temp  313.75 Kelvin, ambient_temp  320.52 Kelvin, ambient_hum    6.00 percent, frontend  300.00 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:36:01  rack_temp  313.96 Kelvin, ambient_temp  317.19 Kelvin, ambient_hum    9.01 percent, frontend  300.03 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:41:01  rack_temp  313.96 Kelvin, ambient_temp  317.39 Kelvin, ambient_hum    8.38 percent, frontend  300.03 Kelvin, rcv3_lna  273.20 Kelvin
